page,seq,round1_answer,round2_answer,match,question_start
111,2,○,○,MATCH,公示の方法による送達の場合を除き、処分の相手方が審査請求人である場合の裁決は、審
111,3,○,○,MATCH,公示の方法によって裁決を行う場合においては、裁決の送達は、当該審査庁の掲示場に所
111,4,○,○,MATCH,行政事件訴訟法は、判決の拘束力について、「処分又は裁決を取り消す判決は、その事件
112,1,○,○,MATCH,審査請求がなされた場合であっても、処分庁は原則として、処分を執行しまたは手続を続
112,2,×,×,MATCH,処分庁の上級庁である審査庁は、審査請求人の申立てによることなく職権により執行停止
112,3,○,○,MATCH,処分庁である審査庁は、審査請求人の申立てによりまたは職権で、処分の効力、処分の執
112,4,×,×,MATCH,審査庁が処分庁の上級行政庁である場合は、職権による執行が必要と認められるが、執行
112,5,×,○,DIFF,審査庁が処分庁または処分庁の上級行政庁のいずれでもない場合には、審査庁は、審査請
112,6,×,×,MATCH,処分庁の上級行政庁または処分庁のいずれでもない審査庁は、必要があると認めるときは
113,1,×,×,MATCH,審査請求人による執行停止の申立てがあった場合、処分、処分の執行または手続の続行に
113,2,×,○,DIFF,審査庁は、処分、処分の執行または手続の続行により生ずる遅大な損害を避けるために緊
113,3,×,○,DIFF,審査請求人の申立てがあった場合において、処分、処分の執行または手続の続行により生
113,4,○,○,MATCH,処分の効力の停止は、処分の効力の停止以外の措置によって目的を達することができると
113,5,○,○,MATCH,執行停止をした後において、執行停止が公共の福祉に重大な影響を及ぼすことが明らかと
114,1,○,○,MATCH,審理員から執行停止をすべき旨の意見書が提出されたときのほか、執行停止の申立てがあ
114,2,×,×,MATCH,審査庁は、必要があると認める場合には、審理員に対し、執行停止をすべき旨の意見書を
114,3,×,×,MATCH,行政不服審査法は、行政事件訴訟法における執行訴訟と同様に、審査請求について執行停
115,1,×,×,MATCH,再調査の請求とは、行政庁の処分について、原則として、上級行政庁に対してする不服申
115,2,×,○,DIFF,行政庁の処分につき、処分庁以外の行政庁に対して審査請求することができる場合、処分
115,3,×,×,MATCH,法律に再調査の請求ができる旨の定めがある場合であっても、審査請求人は、審査請求、
115,4,×,×,MATCH,法律に再調査の請求ができる旨の定めがある場合、審査請求人が再調査の請求を選択した
115,5,×,×,MATCH,法令に基づく処分についての申請に対して、当該申請から相当の期間が経過したにもかか
115,6,×,○,DIFF,再調査の請求においても、原則として、その審理は審理員によって支されなければならな
116,1,×,×,MATCH,再調査の請求において、請求人数または参加人の申立てがあった場合には、それが無理由
116,2,×,○,DIFF,再調査の請求がなされた場合、処分庁は、職権で処分の効力、執行または手続の続行を停
116,3,×,×,MATCH,再調査の請求は、正当な理由のない限り、処分があったことを知った日の翌日から起算し
116,4,×,○,DIFF,審査請求および再審査請求に対する裁決については、認容、棄却、却下の3つの類型があ
117,1,×,×,MATCH,再審査請求をすることができる処分について行う再審査請求の請求先（再審査庁）は、行
117,2,○,○,MATCH,審査庁は、再審査請求をすることができる裁決をする場合には、裁決書に、再審査請求を
117,3,○,×,DIFF,審査請求については、裁決は関係行政庁を拘束する旨の規定が置かれており、この規定は
117,4,×,×,MATCH,再審査請求は、処分についての審査請求の裁決により権利を与えられた第三者で、自己の
117,5,×,○,DIFF,審査請求の対象とされた処分（原処分）を違法として棄却した審査請求の裁決（原裁決）
118,1,×,×,MATCH,処分庁は、審査請求ができる処分をするときは、処分の相手方に対し、審査請求ができる
118,2,×,×,MATCH,処分庁が審査請求をすることができる処分をなす場合においては、それを書面でするか、
118,3,○,○,MATCH,処分庁が審査請求をすることができる処分をなす場合において、処分の相手方に対し、当
118,4,○,○,MATCH,処分庁は、処分の相手方以外の利害関係人から当該処分が審査請求のできる処分であるか
118,5,○,○,MATCH,処分庁は、利害関係人から、当該処分が審査請求をすることができる処分であるかどうか
119,1,○,×,DIFF,処分庁が誤って実定の期間よりも長い期間を審査請求期間として教示した場合、審査請求
120,1,○,○,MATCH,処分に関して、処分庁が誤って再調査の請求をできる旨の教示をした場合に当該処分庁に
120,2,○,○,MATCH,処分ににつき、処分庁が誤って審査請求及び再調査の請求の双方をすることができる旨の
122,1,×,○,DIFF,行政事件訴訟法上は、行政庁の処分の取消しを求める訴訟は処分取消訴訟のみである。
122,2,○,○,MATCH,行政事件訴訟法においては、処分の取消しの訴え、裁決の取消しの訴え、無効等確認の訴
122,3,×,×,MATCH,抗告訴訟とは、行政庁の公権力の行使に関して実際に発せられた行為により、権利利益を
122,4,○,×,DIFF,処分の取消しの訴え、無効等確認の訴え、不作為の違法確認の訴え、当事者訴訟、裁決の
123,1,○,×,DIFF,行政事件訴訟法45条の規定する争点訴訟は、同法２条の規定する訴訟類型のいずれにも
123,2,×,×,MATCH,Ｘが行った営業許可申請に対してなされた不許可処分について、同処分に対する取消訴訟
123,3,×,○,DIFF,食品衛生法に基づいて、都道府県知事に対して行った飲食店営業許可の申請に対して、相
124,1,×,×,MATCH,処分の取消しの訴えとその処分についての審査請求を棄却した裁決の取消しの訴えとを提
124,2,×,○,DIFF,行政事件訴訟法は原処分主義を採用しているため、審査請求に対する裁決取消しを受けた
124,3,○,×,DIFF,審査請求を棄却する裁決を得た者が、更に訴訟を提起して原処分に内在する違法を主張し
124,4,○,○,MATCH,個別法が裁決主義を採用している場合においては、元の処分に対する取消訴訟は提起でき
125,1,×,○,DIFF,取消訴訟を提起できるのは、その対象となっている処分または裁決に違法がある場合に限
125,2,×,×,MATCH,取消訴訟においては行政処分のみを争うことができるが、行政不服申立てにおいては、事
125,3,○,×,DIFF,行政不服審査法において「処分」には、「人の収容、物の留置その他の内容が継続的性質
125,4,×,×,MATCH,地方公共団体がごみ焼却場を建設するために、建設会社と建築請負契約を結んだ場合、こ
126,1,×,×,MATCH,医療法の規定に基づき都道府県知事が行う病院開設中止の勧告は、行政処分に該当しない
126,2,×,×,MATCH,地方公共団体が営む簡易水道事業につき、水道料金の改定を内容とする条件の制定行為は
126,3,×,×,MATCH,都市計画法の規定に基づく用途地域指定の決定が告示された場合、その効力が生ずると、
126,4,×,○,DIFF,関税定率法の規定に基づき税関長が行う『輸入禁止品に該当する理由を認めるのに相当の
126,5,○,○,MATCH,地方公共団体の設置する保育所について、その廃止を定める条例の制定行為は、行政処分
126,6,○,○,MATCH,市町村の施行に係る土地区画整理事業計画の決定により、事業施行地区内の宅地所有者等
127,1,×,×,MATCH,登録免許税を過入に納付して登録を受けた者が登録免許税法に基づいて法定機関から税務
127,2,○,○,MATCH,道路交通法に基づく違反行為に対する反則金の納付通知について不服がある場合は、被通
127,3,×,○,DIFF,公立学校の従業者的行事における教育公務員としての職務の遂行の在り方に関し校長が教
127,4,○,○,MATCH,建築基準法第42条2項に基づく特定行政庁の告示により、同条1項の道路とみなされる
127,5,×,×,MATCH,都市計画法に基づいて、公共施設の管理者である行政機関が都市計画を決定する場合にお
128,1,○,×,DIFF,取消訴訟は、処分または裁決の取消しを求めるについて法律上の利益を有する者に限り、
128,2,×,○,DIFF,行政事件訴訟法によれば、取消訴訟は、処分または裁決の相手方に限って提起することが
128,3,×,×,MATCH,供託法に基づく供託金の取戻請求権は、供託に伴い法律上当然に発生するものであり、一
128,4,○,○,MATCH,労災保険支援費に関する制度の仕組みに基づき、被災労働者またはその遺族は、労働基準
128,5,×,×,MATCH,市町村長が住民基本台帳法に基づき住民票に続柄を記載する行為は、公の帳簿たる住民の
129,1,×,×,MATCH,保健所長がした食品衛生法に基づく飲食店の営業許可につ<省略>のような判決をするこ
129,2,○,○,MATCH,従来、原告適格の要件としての「法律上の利益」が厳格に<省略>問題があった。
129,3,×,×,MATCH,公衆浴場法の適正配置規定は、許可を受けた業者を<省略>
129,4,×,×,MATCH,森林法の保安林指定処分は、一般的公益の保護を<省略>
129,5,○,×,DIFF,不当景品類及び不当表示防止法は、公衆衛生の失策の<省略>
130,1,×,○,DIFF,航空機の騒音の防止は、航空機騒音防止法の目的であるとともに、航空法の目的でもある
130,2,×,○,DIFF,自転車競技法に基づく場外車券発売施設の設置許可の処分要件として定められている位置
130,3,×,×,MATCH,地方鉄道法（当時）による鉄道料金の認可に基づく鉄道料金の改定は、当鉄道駅の利用者
130,4,×,×,MATCH,文化財保護法は、文化財の研究を対影の保存・活用から受ける利益について、同法の目的
131,1,×,×,MATCH,建築基準法に基づく建築確認の取消しが求められた場合、当該建築確認に係る建物の建築
131,2,×,○,DIFF,生活保護の変更決定の取消訴訟の原告が既に死亡した場合であっても、その相続人が請求
131,3,×,×,MATCH,特定の日に予定された公園使用の不許可処分の取消訴訟の係属中にその特定の日が経過し
131,4,×,×,MATCH,公務員に対する免職処分の取消訴訟における訴えの利益は、免職処分を受けた公務員が公
131,5,○,○,MATCH,公営浴場法に基づく許可制度の適正運用によって既設浴場への瑕疵を保護する政策上の利
132,1,×,×,MATCH,Aは行政庁Bに対し、情報公開法に基づく行政文書の情報公開請求を行ったが、BがAの
132,2,×,○,DIFF,公文書非公開決定処分の取消訴訟における訴えの利益は、公開請求の対象である公文書が
132,3,○,×,DIFF,森林法に基づく保安林指定解除処分の取消しが求められた場合において、立木除去等のた
132,4,○,○,MATCH,再入国の許可申請に対する不許可処分について取消訴訟を提起した外国人は、本邦を出国
132,5,○,×,DIFF,都市計画法に基づく開発許可のうち、市街化区域内にある土地を開発区域とするものの取
132,6,○,○,MATCH,運転免許停止処分の取消訴訟における訴えの利益は、免許停止期間が経過した場合であっ
133,1,○,×,DIFF,都市計画法に基づく開発許可のうち、市街化調整区域内における土地開発区域とするもの
133,2,×,○,DIFF,市立保育所廃止条例を制定する行為の取消請求における訴えの利益は、当該保育所で保育
133,3,○,○,MATCH,土地改良法に基づく土地改良事業施行認可取消しが求められた場合、当該事業の計画に係
133,4,×,×,MATCH,市立学級転校前に一市内の他の学級転校前に転住させる処分を受けた場合において、当該
134,1,×,×,MATCH,処分の取消しの訴えの被告適格を有するのは、処分をした行政庁と裁決をした行政庁であ
134,2,×,○,DIFF,審査請求の裁決をした行政庁は、それが国または公共団体に所属する場合であっても、当
134,3,○,×,DIFF,処分をした行政庁が国または公共団体に所属しない場合は、取消訴訟は、当該行政庁を被
134,4,×,○,DIFF,処分が、国または公共団体に所属しない行政庁によって行われた場合、当該処分の取消を
134,5,×,○,DIFF,処分があった後に当該処分をした行政庁の権限が他の行政庁に承継された場合には、当該
134,6,○,○,MATCH,処分をした行政庁は、当該処分の取消訴訟について、裁判上の一切の行為をする権限を有
135,1,○,×,DIFF,行政事件訴訟法によれば、取消訴訟は、処分または裁決があったことを知った日から6か
135,2,○,○,MATCH,取消訴訟は、処分又は裁決の日から1年を経過したときは、正当な理由があるときを除き
135,3,○,○,MATCH,土地の収用を伴う処分に係る取消訴訟は、その不動産または場所の所在地を管轄する地方
135,4,○,○,MATCH,取消訴訟は、処分に関し事案の処理に当たった下級行政機関の所在地を管轄する地方裁判
135,5,×,○,DIFF,国を被告とする取消訴訟は、原告の普通裁判籍の所在地を管轄する高等裁判所の所在地を
136,1,○,○,MATCH,処分につき審査請求をすることができる場合においても、処分の取消しの訴えを直ちに提
136,2,×,×,MATCH,行政事件訴訟では、原則として審査請求前置主義が採られていることから、処分の取消し
136,3,×,×,MATCH,審査請求ができる処分については、それについての裁決を経ることなく取消訴訟を提起す
136,4,×,×,MATCH,審査請求の前置が処分取消訴訟の要件とされている場合には、その審査請求は違法なもの
137,1,×,×,MATCH,「行政事件訴訟に関し、この法律に定めがない事項については、□□□□の例による。」
137,2,×,○,DIFF,取消訴訟の審理は、処分の違法性一般であるから、取消訴訟を提起した原告は、自己の法
137,3,○,×,DIFF,自己の法律上の利益に関係のない違法を理由に取消しを求めることはできないから、その
137,4,○,○,MATCH,取消訴訟には、関連請求に係る訴えの併合が認められている。
137,5,×,○,DIFF,「処分の取消しの訴え」の地方裁判所原則に、関連請求として損害賠償請求が追加的に併
137,6,×,○,DIFF,「裁決の取消しの訴え」と「処分の取消しの訴え」と併合して提起するようなことは、許
137,7,×,×,MATCH,「処分の取消しの訴え」の利益が再訴訟原告に消滅した場合には、損害賠償の訴えに変更
138,1,×,×,MATCH,裁判所は、訴訟の結果により権利を害される第三者があるときは、決定をもって、当該第
138,2,○,○,MATCH,取消訴訟において、処分又は裁決を取り消す判決は、第三者に対して効力を有するので、
138,3,×,×,MATCH,裁判所は、必要であると認めるときは、職権で、処分をした行政庁以外の行政庁を訴訟に
138,4,×,×,MATCH,行政事件訴訟法は、これまでい一般の民事訴訟と同様に当事者主義的な審理手続がとられ
138,5,○,○,MATCH,裁判所は、必要あると認めるときは、職権で、証拠調べをすることができるが、その証拠
139,1,×,×,MATCH,行政処分の取消訴訟においては、原告の請求に理由があれば、裁判所はいかなる場合であ
139,2,×,○,DIFF,行政事件訴訟法31条1項に規定する事情判決は、処分の違法を認める判決であるから、
139,3,○,×,DIFF,事情判決の制度は、私人の利益の保護よりも、公共の福祉の実現を優先させる制度である
139,4,○,×,DIFF,行政事件訴訟法31条1項に規定する事情判決は、行政事件訴訟に特有な制度であり、行
139,5,×,○,DIFF,事情判決をする場合、裁判所は、判決の主文において、処分または裁決が違法であること
139,6,○,○,MATCH,事情判決は、原告の請求を棄却するものであるが、訴訟費用については、被告が負担する
139,7,×,○,DIFF,事情判決は、原告の請求を棄却するものなので、被告側に判決不服がある場合でも、訴え
140,1,×,×,MATCH,取消訴訟の判決には、既判力を生じない。
140,2,×,○,DIFF,行政事件訴訟法31条1項に規定する事情判決においては、処分の違法を理由するともに
140,3,×,×,MATCH,行政事件訴訟法31条1項に規定する事情判決の規定は、公職選挙法、同法による選挙の
141,1,×,○,DIFF,申請を拒否する処分に対する審査請求の棄却裁決を取り消す判決は、裁決をした行政庁そ
141,2,×,○,DIFF,実質的当事者訴訟における原告勝訴の判決は、その事件について、被告だけでなく、関係
141,3,×,×,MATCH,申請を認める処分が判決により手続に違法があることを理由として取り消された場合、そ
142,1,×,×,MATCH,執行停止の決定は、取消訴訟の提起があった場合においては、裁判所が職権で行うことが
142,2,○,×,DIFF,仮の義務付けおよび仮の差止めは、それぞれ義務付け訴訟および差止訴訟を提起しなけれ
142,3,×,○,DIFF,処分の執行の停止は、処分の効力の停止や手続の続行の停止によって目的を達することが
142,4,×,○,DIFF,従来、きわめて厳格であった「回復の困難な損害を避けるため緊急の必要があるとき」と
142,5,×,×,MATCH,執行停止の決定は、債務をことができない損害を避けるための緊急の必要がある場合でな
142,6,○,○,MATCH,執行停止は、本案について理由がないとみえるときとされ、本案について理由があるとみ
143,1,×,×,MATCH,処分の執行停止に関する決定をなすにあたり、裁判所は、あらかじめ、当事者の意見をき
143,2,×,○,DIFF,執行停止の決定は、裁判所が破毀に基づいて行うが、口頭弁論を経て行わなければならな
143,3,×,×,MATCH,内閣総理大臣の異議訴えは、裁判所による執行停止決定の後に述べなければならず、決定
143,4,×,○,DIFF,執行停止の申立てがあったときは、内閣総理大臣は、裁判所に対し、執行停止の決定の前
143,5,○,○,MATCH,内閣総理大臣の異議が執行停止決定に対して述べられたときは、その理由の当否について
143,6,○,×,DIFF,内閣総理大臣の異議は、下級裁判所による執行停止決定に対するものであって、最高裁判
143,7,×,×,MATCH,内閣総理大臣の異議を述べたときは、国会に承認を求めなければならず、これが国会によ
143,8,×,×,MATCH,行政庁の処分その他公権力の行使に当たる行為については、民事保全法に規定する行政事
144,1,○,○,MATCH,無効確認訴訟は、処分の無効確認を求める法律上の利益を有する者に限って提起すること
144,2,○,×,DIFF,取消訴訟においては、自己の法律上の利益に関係のない違法を理由として取消しを求める
144,3,×,×,MATCH,無効等確認の訴えは、処分または裁決があったことを知った日から3箇月以内に提起しな
144,4,×,×,MATCH,無効確認訴訟については、出訴期間の制限の規定はないが、取消訴訟の出訴期間の規定が
144,5,○,×,DIFF,「無効等確認の訴え」を、処分の無効に基づく損害賠償の訴えに変更することは、許され
144,6,×,○,DIFF,無効確認訴訟は、処分の取消訴訟につき審査請求の前置が要件とされている場合において
144,7,×,×,MATCH,処分もしくは裁決の不存在またはその効力の無を認定する判決（無効等確認判決）は、第
145,1,×,×,MATCH,無効確認訴訟においては、訴訟の対象となる処分に当初から無効であるのが前提であるか
145,2,×,×,MATCH,無効の行政行為については、それを争う訴訟として無効確認訴訟が法定されており、その
145,3,×,○,DIFF,無効確認訴訟は、処分が無効であることを前提とする現在の法律関係に関する訴えによっ
145,4,○,×,DIFF,無効確認訴訟は、処分が無効であることを主張して提起する訴訟であるから、当該処分に
147,1,×,×,MATCH,行政事件訴訟法によると、義務付け訴訟の出訴期間は、申請をした日から3か月以内であ
147,2,×,○,DIFF,法令に基づく申請に対して相当の期間内に何らの処分もされない場合においては、不作為
147,3,×,○,DIFF,Ｘが市立保育園に長女Ａの入園を申込んだところ拒否された場合において、Ｘが反対処分
147,4,×,○,DIFF,義務付け訴訟は、行政庁の判断を待たず裁判所が一定の処分を義務付けるものであるから
148,1,×,×,MATCH,処分がされないことにより生ずる著しく償うことのできない損害を避けるため発急の必要
148,2,○,○,MATCH,仮の義務付けまたは仮の差止めは、処分の執行停止と同様の機能を有するので、内閣総理
149,1,○,○,MATCH,実質的当事者訴訟は、行政主体と一般市民との間における対等当事者としての法律関係に
149,2,×,×,MATCH,当事者訴訟は、対等当事者間の権利に係わる紛争についての訴訟であるが、行政内の公権
149,3,○,○,MATCH,国に対して日本国籍を有することの確認を求める訴えを提起する場合、この確認の訴えは
150,1,×,×,MATCH,民衆訴訟とは、国または公共団体の機関の法規に適合しない行為の是正を求める訴訟で、
150,2,×,○,DIFF,民衆訴訟は、選挙人たる資格を有する者に限り、提起することができる。
150,3,○,×,DIFF,民衆訴訟は、住民訴訟や選挙の効力に関する訴訟のように、法律で定められたものに限ら
150,4,×,×,MATCH,公職選挙法が定める地方公共団体の議会の議員の選挙の効力に関する訴訟は、地方公共団
150,5,○,○,MATCH,地方財政の適正を確保するために地方自治法242条の2が規定する住民訴訟は、行政事
151,1,×,×,MATCH,機関訴訟とは、国又は地方公共団体の機関の法規に適合しない行為の是正を求める訴訟で
151,2,×,×,MATCH,機関訴訟は、国または公共団体の機関相互間における権限の存否またはその行使に関する
151,3,×,○,DIFF,地方自治法に基づいて、市町村の境界に係る都道府県知事の裁定に対して関係市町村が提
151,4,○,○,MATCH,機関訴訟で、処分の取消しを求めるのについては、行政事件訴訟法既定の規定を除き、取
152,1,×,×,MATCH,取消訴訟を提起することができる処分が口頭でされた場合に、相手方から書面による教示
152,2,○,×,DIFF,原処分でなく裁決に対しての取消訴訟を認める旨の定めがある場合に、当該処分を行う際
152,3,×,×,MATCH,行政事件訴訟法では、当該処分または裁決の相手方以外の利害関係人であっても、教示を
152,4,×,×,MATCH,行政事件訴訟法では、誤った教示をした場合、または教示をしなかった場合についての救
152,5,×,×,MATCH,行政事件訴訟法は、行政庁が取消訴訟の対象となる処分をする場合に、当該処分の相手方
154,1,×,×,MATCH,公権力の行使に当たる公務員が、その職務を行うについ
154,2,×,×,MATCH,国家賠償事件において、被告となるのは、賠償責任の主体
154,3,×,×,MATCH,国家賠償法第1条の「公務員」とは、必ずしも公務員とい
154,4,×,×,MATCH,国家賠償法の責任は、公務員の違法な公権力の行使につい
154,5,×,○,DIFF,国家賠償法第1条の「職務を行うについて」の中には、作
154,6,×,○,DIFF,国・公共団体の機関は、規制権限の行使・不行使に関する
155,1,×,×,MATCH,国家賠償法1条1項が定める「公務員が、その職務を行うについて」という要件につき、
155,2,○,○,MATCH,非番の警察官が、管轄区域外で現行を行った場合でも、そこが無政府状況を作り出して行
155,3,×,×,MATCH,警察官でない者が、公務執行中の警察官であるかのような外観を装い、他人を恐喝した場
155,4,○,○,MATCH,同一の行政主体に属する複数の公務員によって一連の職務上の行為が行われ、その一連の
155,5,×,×,MATCH,国家賠償法3条1条の公務員の行使には国または地方公共団体の分子が含まれるとするの
155,6,○,○,MATCH,裁判官がした学説の裁判について、瑕疵が存在している場合であっても、当該裁判官が違
156,1,○,×,DIFF,検察官は合理的な疑疑があれば公訴を提起することが許されるのであるから、検察官が起
156,2,×,×,MATCH,政府が物価の安定等の政策目標を実現するためにとるべき具体的なやり方についての判断
156,3,×,○,DIFF,公立学校のプールにおける飛込みで事故が起きた場合、国家賠償法1条という「公権力の
156,4,×,○,DIFF,所得金額を過大に認定して行われた所得税の更正は、直ちに国家賠償法1条1項の適用上
156,5,×,○,DIFF,規制的な行政指導によって、私人が損失の損害を受けた場合には国家賠償請求訴訟によっ
157,1,×,×,MATCH,国家賠償法は、国・公共団体の不法行為責任にかかる一般法であることから、国会立法等
157,2,○,○,MATCH,国家公務員の定期健康診断における国民健康保険動務医師による検診は、医師の一般的診
157,3,×,×,MATCH,国による国民健康保険法上の被保険者資格の基準に関する通知の発出は、行政機関からの
157,4,×,×,MATCH,警察官が交通法規に違反して逃走する車両をパトカーで追跡する業務執行中に、逃走車両
157,5,×,○,DIFF,国家賠償法は、国・公共団体の個別・具体的な公権力の行使にかかる賠償責任であるから
159,1,×,×,MATCH,国家賠償法1条の規定に基づき国または公共団体が損害賠償をした場合は、当該官吏また
159,2,○,○,MATCH,国または公共団体の公権力の行使に当たる複数の公務員がその職務を行うについて、共同
160,1,×,×,MATCH,国家賠償法２条に定める営造物は、道路・河川などの不動産を指し、公法団体が管理する
160,2,×,○,DIFF,営造物の設置管理に瑕疵があるとは、その物が通常有すべき安全性を欠いていることをい
160,3,×,×,MATCH,営造物の管理責任は、営造物の物理的瑕疵を問うものであり、営造物を管理する公務員の
160,4,○,○,MATCH,営造物の瑕疵は、営造物そのものに物理的瑕疵がある場合を元被害するが、営造物の作為
160,5,×,×,MATCH,運転者が原動機付自転車を運転中に、道路上に長時間放置されてあった事故車両に衝突し
161,1,×,×,MATCH,事故事案当時、道路管理者が設置した工事標識、バリケードおよび赤色点滅灯標識に倒れ
161,2,×,×,MATCH,著作権侵害の発生した道路に防護柵を設置する場合に、その費用の額が担当の多寡にのり
161,3,○,○,MATCH,氾濫等の河川については改修的改修が必記とされ、水害発生部分について未改善が成され
161,4,○,○,MATCH,請負業者の道路工事のスミに起因する公の道路の設置管理の瑕疵に基づく損害賠償責任を
161,5,○,○,MATCH,公の営造物の設置又は管理に瑕疵があったため他人に損害を与えたときは、国又は公共団
163,1,×,○,DIFF,違法な行政庁の処分に対し国家賠償請求訴訟を提起して勝訴するためには、あらかじめ当
163,2,×,×,MATCH,違法な課税処分によって本来払うべきでない税金を支払った場合において、通常の非訴訟
164,1,×,×,MATCH,損失補償について定めた憲法29条3項は、単なるプログラム規定にすぎず、直接この規
164,2,×,○,DIFF,インフルエンザ予防接種に伴い、注射を受けた者がショック死する等の事故が生じた場合
164,3,×,×,MATCH,地方公共団体が行政財産の使用許可を撤回したことにより損失が生じた場合、地方自治法
164,4,○,○,MATCH,行政財産の使用許可によって得られた使用権は、その内容的制約によって、当該行政財産
165,1,○,○,MATCH,公共のために必要な制限であっても、一般的に当然に忍...制限を超えて、財産上の特
165,2,×,×,MATCH,憲法第29条3項にいうところの財産権を公共の用に供す...正当な補償とは、その当
165,3,×,×,MATCH,損失補償が金銭補償の方式により行われる場合には、その支...るには制限に先立ち、
167,1,○,×,DIFF,「政令指定都市」「中核市」は、いずれも「市」の特例として設けられているのにすぎな
167,2,○,○,MATCH,大都市等に関する特例としては、指定都市、中核市の二つに関するものが設けられている
167,3,○,○,MATCH,指定都市は、地方自治法において列挙された事務のうち、都道府県が法律またはこれに基
167,4,×,×,MATCH,中核市は、特例が処理することができる事務のうち政令で定めるものを処理することがで
167,5,×,×,MATCH,指定都市は、必要と認めるときは、条例で、区の議会を置くことができる。
167,6,×,○,DIFF,市が中核市の指定の申出をしようとするときは、当該市は、あらかじめ議会の議決を経て
168,1,×,×,MATCH,地方公共団体の組合には、一部事務組合、広域連合、全部事務組合および財産区の４種類
168,2,×,○,DIFF,「地方公共団体の組合」は、普通地方公共団体だけで構成されている場合は、普通地方公
168,3,○,○,MATCH,都道府県知事は、公金と上要がある場合において、関係のある市町村村長および特別区に
168,4,×,×,MATCH,地方自治法が定める一定の人口要件を下回った市は、町または村となる。
169,1,×,×,MATCH,都道府県の境界にわたる市町村の境界の変更に関する事項は、条例で定めなければならな
169,2,○,○,MATCH,市町村の境界に関する争論について都道府県知事が行った裁定に不服があるときは、関係
169,3,×,○,DIFF,広域連合は、市区町村から構成される「市区町村広域連合」と、都道府県と関の地方自治
169,4,○,○,MATCH,広域連合は、構成団体間において処理しようとする事務がすべて同一種類の事務である必
169,5,○,×,DIFF,国または都道府県は、その権限や事務を、直接広域連合に委任することができ、また、広
169,6,○,×,DIFF,広域連合は、構成団体に対して広域連合の規約の変更を要請することができる。また広域
169,7,×,○,DIFF,広域連合には構成団体の住民による直接請求の制度があるが、長および議会議員の選出に
170,1,○,○,MATCH,普通地方公共団体が処理する事務には、地域における事務およびその他の事務で法律と、
170,2,×,○,DIFF,自治体の処理する事務のうち、自治事務に関しては法律で内容的な定めを設けることはで
170,3,○,○,MATCH,地方自治法に定める「自治事務」とは、地方公共団体が処理する事務のうち、法定受託事
170,4,×,○,DIFF,地方自治法は、かつての国家が定めていた機関委任事務制度のような組織を定めていなか
170,5,×,×,MATCH,法定受託事務は、国の命令を定めるところにより、国の各大臣の権限に属する事務の一部
170,6,×,×,MATCH,普通地方公共団体が処理する事務のうち、自治事務についても、法定受託事務と同様に、
171,1,○,○,MATCH,地方公共団体に関する法令の規定は、地方自治の本旨に基づき、かつ、国と地方公共団体
171,2,○,×,DIFF,法律又はこれに基づく政令により地方公共団体が処理するとされる事務を自治事務である
171,3,○,○,MATCH,地方公共団体は、その事務を処理するに当たっては、住民の福祉の増進の増進に努めると
171,4,○,○,MATCH,地方公共団体は、常にその組織及び運営の合理化に努めるとともに、他の地方公共団体に
171,5,×,×,MATCH,市町村が当該都道府県の条例に違反して事務を処理した場合には、その市町村の行為は無
172,1,×,×,MATCH,地方議会の議員定数は条例で定めるが、各地方自治体が恣意により定数を真に自己に定め
172,2,○,○,MATCH,地方議会の議員は、衆議院議員・参議院議員を兼職することができず、また他の地方公共
172,3,×,×,MATCH,普通地方公共団体の議会の議員は、地方公共団体の議会の議員および非常勤の職員と兼ね
172,4,○,○,MATCH,地方公共団体は、それぞれの議会の議員の定数を条例で定めるが、議員の任期について条
172,5,○,○,MATCH,町村は、議会を設置せず、選挙権を有する者の総会をもってこれに代える旨の条例を制定
172,6,×,×,MATCH,都道府県は、条例で、議会を置かず、議会の議員および長の選挙権を有する者の総会を設
173,1,×,×,MATCH,私法上の契約の締結は、非権力的行為であるので、普通地方公共団体の契約締結は議会の
173,2,×,×,MATCH,普通地方公共団体の議会は、住民訴訟の対象となった普通地方公共団体の不当利得返還請
173,3,×,×,MATCH,地方公共団体の長が提出した予算案に対し、議会は、削減または否決することはできるが
173,4,×,○,DIFF,地方自治法の規定する議会の議決事項は限定列挙と解されているため、地方自治体が条例
174,1,×,×,MATCH,普通地方公共団体の議会は、法定受託事務・自治事務の区別なく、当該普通地方公共団体
174,2,×,×,MATCH,議会が当該普通地方公共団体の事務に関する調査を行うため特に必要があると認めること
174,3,○,○,MATCH,議会は、選挙人その他の関係人に出頭および証言または記録の提出を請求した場合に、正
174,4,×,×,MATCH,議会は、選挙人その他の関係人が公務員たる地位において知り得た事実について、その者
176,1,×,×,MATCH,条例案の提出権は、普通地方公共団体の長のみが有する。
176,2,×,○,DIFF,普通地方公共団体の議会の議員は、予算について、議会に議案を提出することができる。
176,3,×,○,DIFF,議員は、予算を除く議会の議決すべき事件につき、議案に議案を提出することができるが
176,4,○,○,MATCH,常任委員会、特別委員会および議会運営委員会は、それぞれ参考人の出頭を求め、その意
177,1,○,○,MATCH,普通地方公共団体の議会は、議長または議員3人以上の発議により、出席議員の3分の2
177,2,×,×,MATCH,議会の運営に関する事項のうち、議員の請求による会議の開催、会議の公開については、
